name,city,district,address,location,price,description,fid
爱碗亭精致湖南菜(龙华iCO店),深圳市,龙岗区,广东省深圳市龙岗区爱碗亭精致湖南菜,"114.122632,22.597667",¥70,"大盆花菜                                ,
蒜蓉粉丝蒸虾                                ,
双色鱼头                                ,
酸萝卜炒猪肚                                ,
平锅武昌鱼                                ,
想吃嫩豆腐                                ,
辣椒炒肉                                ,
汽锅肉丸养身汤                                ,
小炒黄牛肉                                ,
囗囗香小龙虾",33
芙蓉楼·健康湘菜(南油店),深圳市,龙岗区,广东省深圳市龙岗区芙蓉楼,"114.211230,22.649307",¥81,"血酱鸭                                ,
鸡汤萝卜                                ,
原汁土鸡                                ,
长沙豆腐小炒肉                                ,
明炉铁板烧大虾                                ,
熊猫笋                                ,
洪湖粉藕                                ,
手撕包菜                                ,
农家小炒肉                                ,
剁椒鱼头",34
云海肴汽锅鸡(中航城天虹购物中心店),深圳市,福田区,广东省深圳市福田区云海肴,"114.083848,22.542233",¥92,"云南过桥米线                                ,
鸡丝凉面                                ,
小锅米线                                ,
香茅草烤罗非鱼                                ,
傣味烤五花肉                                ,
鸡丝凉米线                                ,
原味汽锅鸡                                ,
黑糖豆花                                ,
泰式柠檬香叶鸡                                ,
烤破酥包",35
缪氏川菜(沙井店),深圳市,宝安区,广东省深圳市宝安区缪氏川菜,"113.883056,22.565517",¥63,"毛血旺                                ,
辣子鸡                                ,
大盆莲藕丝                                ,
手撕鸡                                ,
驰名口水鸡                                ,
缪氏罐罐菜                                ,
蒜茸拍黄瓜                                ,
黄焖鸡                                ,
辣子鸡丁                                ,
无刺缪氏民间鱼饭",36
鑫泰泰国料理(KKMALL京基店),深圳市,罗湖区,广东省深圳市罗湖区鑫泰泰国料理,"114.106577,22.544335",¥118,"虾饼                                ,
菠萝炒饭                                ,
青木瓜沙律                                ,
咖喱螃蟹                                ,
香浓咖喱牛腩                                ,
酸汤乌头鱼                                ,
香蘭海南無骨雞                                ,
泰烧茄子                                ,
海鲜冬荫功汤                                ,
咖喱鸡                                ,
咖喱鸡肉                                ,
泰式酸辣凤爪                                ,
酸辣凤爪                                ,
通菜                                ,
猪颈肉                                ,
咖喱虾                                ,
冬阴功                                ,
冬阴功海鲜汤                                ,
龙虾片                                ,
青咖喱牛肉                                ,
咖喱皇炒大虾                                ,
马来咖喱鸡肉                                ,
三巴酱炒通菜                                ,
碳烧猪颈肉                                ,
咖喱皇炒肉蟹                                ,
泰式明炉乌头鱼                                ,
明炉鱼                                ,
通心菜                                ,
纸米卷                                ,
海鲜菠萝粒炒饭                                ,
香芒炒牛柳条                                ,
小吃拼盘                                ,
面包咖喱牛肉                                ,
咖喱牛肉",37
庭悦餐厅(华侨城店),深圳市,南山区,广东省深圳市南山区庭悦餐厅,"113.985029,22.535239",¥80,"庭悦烤鲈鱼                                ,
蟹黄豆腐                                ,
生煎韭菜饺                                ,
淇淋面包                                ,
素炒千叶豆腐                                ,
庭悦烤肉                                ,
椒麻鸡                                ,
糖醋排骨                                ,
小米星糕                                ,
有鸡凉面",38
宝立方·中餐厅,深圳市,宝安区,广东省深圳市宝安区宝立方中餐厅,"113.891952,22.580450",¥87,"烧卖                                ,
蒜蓉蒸扇贝                                ,
清蒸青斑鱼                                ,
上汤伊面焗波士顿龙虾                                ,
深井烧鹅皇                                ,
榴莲酥                                ,
黑椒焗牛仔骨                                ,
煎饺                                ,
金沙有机红米肠                                ,
宝立方虾铰",39
北海渔村酒楼(新华店),深圳市,福田区,广东省深圳市福田区海渔村酒楼,"114.052469,22.537920",¥134,"片皮鸭                                ,
招牌黑金包                                ,
飘香榴莲酥                                ,
花胶老鸡汤                                ,
北海水晶鸡                                ,
山药炖虾饺皇                                ,
粉丝大元贝                                ,
铁板自磨黑豆腐                                ,
鲍汁凤爪焖中鲍                                ,
红烧妙龄鸽                                ,
卤水拼盘                                ,
豉汁凤爪",40
云海肴云南菜(海岸城店),深圳市,福田区,广东省深圳市福田区云海肴,"114.059988,22.569851",¥97,"云南过桥米线                                ,
汽锅鸡                                ,
小锅米线                                ,
香茅草烤罗非鱼                                ,
焦糖豆花                                ,
鸡丝凉米线                                ,
原味汽锅鸡                                ,
黑糖豆花                                ,
包烧野生牛肝菌                                ,
诺邓火腿焖小麦瓜",41
缪氏川菜(龙平店),深圳市,龙岗区,广东省深圳市龙岗区缪氏川菜,"114.229937,22.728443",¥59,"毛血旺                                ,
水煮牛肉                                ,
飘香鸭                                ,
大盆藕丝                                ,
麻辣豆腐                                ,
无刺缪氏民间鱼饭                                ,
螺蛳鸡                                ,
香辣虾                                ,
双色松鼠鱼（整条）                                ,
缪氏民间鲩鱼",42
金茂深圳JW万豪酒店·万豪中餐厅,深圳市,福田区,广东省深圳市福田区万豪中餐厅,"114.032319,22.536268",¥216,"豉汁蒸鳳爪                                ,
三菌养生功夫汤                                ,
牛仔骨                                ,
特色担担面                                ,
蝦餃                                ,
骨香多宝鱼                                ,
特色海鲜泡饭                                ,
凉拌虫草花                                ,
榴蓮酥                                ,
杨枝甘露",43
稻香酒家(海岸城分店),深圳市,南山区,广东省深圳市南山区稻香酒家,"113.936212,22.516655",¥87,"豉汁蒸凤爪                                ,
虾饺                                ,
鲍汁凤爪                                ,
金钱肚                                ,
红米肠                                ,
甘笋流沙包                                ,
天鹅榴莲酥                                ,
稻香鲜虾饺                                ,
明炉脆皮烧鹅                                ,
鲍汁叉烧包",44
